"id"	"name"	"price"	"img"	"descr"	"origin"	"taste"	"specs"	"date"	"status"	"discount"	"business_id"	"category_id"
"18"	"西瓜麦旋风"	"15"	"https://raw.githubusercontent.com/xuanyu6868/takeaway/main/%E5%9B%BE%E7%89%87%E7%B4%A0%E6%9D%90/%E9%BA%A6%E5%BD%93%E5%8A%B3/%E5%95%86%E5%93%81/%E8%A5%BF%E7%93%9C%E9%BA%A6%E6%97%8B%E9%A3%8E.png"	"夏日清爽西瓜"	"西瓜麦旋风"	"甜"	"杯"	"2024-06-30"	"上架"	"0.8"	"13"	"7"
"19"	"双层吉士堡"	"22"	"https://raw.githubusercontent.com/xuanyu6868/takeaway/main/%E5%9B%BE%E7%89%87%E7%B4%A0%E6%9D%90/%E9%BA%A6%E5%BD%93%E5%8A%B3/%E5%95%86%E5%93%81/%E5%8F%8C%E5%B1%82%E5%90%89%E5%A3%AB%E5%A0%A1.png"	"100%牛肉加香浓芝士"	"双层吉士堡"	"香"	"个"	"2024-06-30"	"上架"	"1"	"13"	"7"
"20"	"精选单人三件套"	"33.5"	"https://raw.githubusercontent.com/xuanyu6868/takeaway/main/%E5%9B%BE%E7%89%87%E7%B4%A0%E6%9D%90/%E9%BA%A6%E5%BD%93%E5%8A%B3/%E5%95%86%E5%93%81/%E7%B2%BE%E9%80%89%E4%B8%89%E4%BA%BA%E5%A5%97%E9%A4%90.png"	"1个汉堡+1份小食+1杯饮料"	"精选单人三件套"	"可选"	"份"	"2024-06-30"	"上架"	"1"	"13"	"2"
"21"	"双层安格斯MAX厚牛培根堡"	"28"	"https://raw.githubusercontent.com/xuanyu6868/takeaway/main/%E5%9B%BE%E7%89%87%E7%B4%A0%E6%9D%90/%E9%BA%A6%E5%BD%93%E5%8A%B3/%E5%95%86%E5%93%81/%E5%8F%8C%E5%B1%82%E5%AE%89%E6%A0%BC%E6%96%AFMAX%E5%8E%9A%E7%89%9B%E5%9F%B9%E6%A0%B9%E5%A0%A1.png"	"厚牛美味一个顶饱"	"安格斯厚牛培根"	"香"	"个"	"2024-06-30"	"上架"	"1"	"13"	"7"
"24"	"板烧鸡腿堡"	"20.5"	"https://raw.githubusercontent.com/xuanyu6868/takeaway/main/%E5%9B%BE%E7%89%87%E7%B4%A0%E6%9D%90/%E9%BA%A6%E5%BD%93%E5%8A%B3/%E5%95%86%E5%93%81/%E6%9D%BF%E7%83%A7%E9%B8%A1%E8%85%BF%E5%A0%A1.png"	"板烧鸡腿堡"	"板烧鸡腿堡"		"个"	"2024-07-01"	"上架"	"1"	"13"	"7"
"25"	"“鸡”不可失"	"28.8"	"https://raw.githubusercontent.com/xuanyu6868/takeaway/main/%E5%9B%BE%E7%89%87%E7%B4%A0%E6%9D%90/%E9%BA%A6%E5%BD%93%E5%8A%B3/%E5%95%86%E5%93%81/%E9%B8%A1%E4%B8%8D%E5%8F%AF%E5%A4%B1.png"	"“鸡”不可失"	"鸡肉"		"份"	"2024-07-02"	"上架"	"1"	"13"	"2"
"26"	"想吃鲜的"	"26.8"	"https://raw.githubusercontent.com/xuanyu6868/takeaway/main/%E5%9B%BE%E7%89%87%E7%B4%A0%E6%9D%90/%E9%BA%A6%E5%BD%93%E5%8A%B3/%E5%95%86%E5%93%81/%E6%83%B3%E5%90%83%E9%B2%9C%E7%9A%84.png"	"想吃鲜的"			"份"	"2024-07-02"	"上架"	"1"	"13"	"2"
"27"	"波波奶茶"	"18.8"	"https://github.com/xuanyu6868/takeaway/blob/main/图片素材/一点点/商品/波波奶茶.png?raw=true"	"波波"	"波波"		"杯"	"2024-07-02"	"上架"	"0.9"	"14"	"1"
"30"	"牛油果炸鸡盒"	"25.5"	"https://raw.githubusercontent.com/xuanyu6868/takeaway/26f6010e69ffece8c999449dd9038732bd915b15/%E5%9B%BE%E7%89%87%E7%B4%A0%E6%9D%90/MUSI/avofriedchicken.png"	"牛油果炸鸡盒"	"牛油果炸鸡"		"盒"	"2024-07-09"	"上架"	"0.9"	"10"	"14"
"31"	"烤鸡+可乐"	"18.8"	"https://raw.githubusercontent.com/xuanyu6868/takeaway/26f6010e69ffece8c999449dd9038732bd915b15/%E5%9B%BE%E7%89%87%E7%B4%A0%E6%9D%90/MUSI/kaoji.png"	"烤鸡+可乐"	"烤鸡+可乐"		"份"	"2024-07-09"	"上架"	"1"	"10"	"13"
"32"	"爱心大鸡排"	"9.9"	"https://raw.githubusercontent.com/xuanyu6868/takeaway/26f6010e69ffece8c999449dd9038732bd915b15/%E5%9B%BE%E7%89%87%E7%B4%A0%E6%9D%90/MUSI/heartjipai.png"	"爱心大鸡排"	"大鸡排"		"份"	"2024-07-06"	"上架"	"1"	"10"	"14"
"33"	"舍友4人套餐"	"79.9"	"https://raw.githubusercontent.com/xuanyu6868/takeaway/26f6010e69ffece8c999449dd9038732bd915b15/%E5%9B%BE%E7%89%87%E7%B4%A0%E6%9D%90/MUSI/shirentaocan4.png"	"舍友4人套餐"			"份"	"2024-07-08"	"上架"	"0.9"	"10"	"13"
